/usr/bin/python /Users/dimbul/Desktop/destop_v1/OSU/Term-2_winter_2017/AI_Projects/Suduko_v3/sudoku/main.py
#Applied only Rule 1,2,3
#find_most_constrainted_location



Problem No.	Problem_type	K	Solved	Rule_1	Rule_2	Rule_3	_Rule_4	Search	Back_Tracks
1 	medium 	3 	True 	True 	True 	False 	False 	False 	0
2 	hard 	3 	True 	True 	True 	False 	False 	False 	0
3 	evil 	3 	True 	True 	True 	True 	False 	False 	0
4 	easy 	3 	True 	True 	True 	True 	False 	True 	3152
5 	easy 	3 	True 	True 	True 	False 	False 	False 	0
6 	easy 	3 	True 	True 	True 	False 	False 	False 	0
7 	medium 	3 	True 	True 	True 	False 	False 	False 	0
8 	evil 	3 	True 	True 	True 	True 	False 	False 	0
9 	medium 	3 	True 	True 	True 	False 	False 	False 	0
10 	hard 	3 	True 	True 	True 	True 	False 	False 	0
11 	hard 	3 	True 	True 	True 	True 	False 	False 	0
12 	hard 	3 	True 	True 	True 	True 	False 	True 	307
13 	evil 	3 	True 	True 	False 	True 	False 	True 	1173
14 	evil 	3 	True 	True 	True 	True 	False 	True 	39347
15 	evil 	3 	True 	True 	True 	True 	False 	True 	1485
16 	easy 	3 	True 	True 	True 	False 	False 	False 	0
17 	easy 	3 	True 	True 	True 	False 	False 	False 	0
18 	easy 	3 	True 	True 	True 	False 	False 	False 	0
19 	easy 	3 	True 	True 	True 	True 	False 	False 	0
20 	medium 	3 	True 	True 	True 	False 	False 	False 	0
21 	medium 	3 	True 	True 	True 	True 	False 	False 	0
22 	medium 	3 	True 	True 	True 	True 	False 	False 	0
23 	medium 	3 	True 	True 	True 	True 	False 	False 	0
24 	evil 	3 	True 	True 	True 	True 	False 	False 	0
25 	hard 	3 	True 	True 	True 	False 	False 	False 	0
26 	evil 	3 	True 	True 	False 	True 	False 	True 	991
27 	evil 	3 	True 	True 	False 	True 	False 	True 	57458
28 	easy 	3 	True 	True 	True 	True 	False 	True 	34193
29 	easy 	3 	True 	True 	True 	False 	False 	False 	0
30 	medium 	3 	True 	True 	True 	False 	False 	False 	0
31 	hard 	3 	True 	True 	True 	True 	False 	False 	0
32 	hard 	3 	True 	True 	False 	True 	False 	True 	189
33 	evil 	3 	True 	True 	True 	True 	False 	False 	0
34 	medium 	3 	True 	True 	False 	True 	False 	True 	30767
35 	medium 	3 	True 	True 	True 	False 	False 	False 	0
36 	hard 	3 	True 	True 	True 	True 	False 	False 	0
37 	hard 	3 	True 	True 	True 	True 	False 	False 	0
38 	evil 	3 	True 	True 	True 	True 	False 	False 	0
39 	evil 	3 	True 	True 	False 	True 	False 	True 	195
40 	easy 	3 	True 	True 	True 	True 	False 	True 	282
41 	easy 	3 	True 	True 	True 	False 	False 	False 	0
42 	easy 	3 	True 	True 	True 	False 	False 	False 	0
43 	easy 	3 	True 	True 	True 	False 	False 	False 	0
44 	medium 	3 	True 	True 	True 	False 	False 	False 	0
45 	medium 	3 	True 	True 	True 	False 	False 	False 	0
46 	hard 	3 	True 	True 	True 	True 	False 	False 	0
47 	evil 	3 	True 	True 	True 	True 	False 	False 	0
48 	easy 	3 	True 	True 	True 	True 	False 	True 	3891
49 	easy 	3 	True 	True 	True 	False 	False 	False 	0
50 	evil 	3 	True 	True 	True 	False 	False 	False 	0
51 	evil 	3 	True 	True 	True 	True 	False 	True 	391
52 	hard 	3 	True 	True 	False 	True 	False 	True 	9878
53 	medium 	3 	True 	True 	True 	True 	False 	False 	0
54 	easy 	3 	True 	True 	True 	True 	False 	False 	0
55 	medium 	3 	True 	True 	True 	False 	False 	False 	0
56 	medium 	3 	True 	True 	True 	True 	False 	False 	0
57 	hard 	3 	True 	True 	True 	True 	False 	False 	0
58 	hard 	3 	True 	True 	True 	True 	False 	False 	0
59 	evil 	3 	True 	True 	True 	True 	False 	False 	0
60 	easy 	3 	True 	True 	True 	True 	False 	True 	125840
61 	easy 	3 	True 	True 	True 	False 	False 	False 	0
62 	medium 	3 	True 	True 	True 	False 	False 	False 	0
63 	medium 	3 	True 	True 	True 	True 	False 	False 	0
64 	hard 	3 	True 	True 	True 	True 	False 	False 	0
65 	hard 	3 	True 	True 	True 	True 	False 	False 	0
66 	easy 	3 	True 	True 	True 	True 	False 	False 	0
67 	easy 	3 	True 	True 	True 	False 	False 	False 	0
68 	easy 	3 	True 	True 	True 	False 	False 	False 	0
69 	easy 	3 	True 	True 	True 	False 	False 	False 	0
70 	medium 	3 	True 	True 	True 	True 	False 	False 	0
71 	medium 	3 	True 	True 	True 	True 	False 	False 	0
72 	medium 	3 	True 	True 	True 	True 	False 	False 	0
73 	medium 	3 	True 	True 	True 	True 	False 	False 	0
74 	hard 	3 	True 	True 	True 	True 	False 	False 	0
75 	hard 	3 	True 	True 	True 	True 	False 	False 	0
76 	hard 	3 	True 	True 	True 	True 	False 	False 	0
77 	hard 	3 	True 	True 	True 	True 	False 	False 	0
78 	hard 	3 	True 	True 	True 	True 	False 	True 	106

Process finished with exit code 0
